FIRM_ID,FIRM_NAME,SEARCH_TERM
108780,BRAGG FINANCIAL ADVISORS INC,:801-56890
108784,ZWEIG ADVISERS LLC,:801-56470
108805,COLDSTREAM WEALTH MANAGEMENT,:801-39379
108832,ROXBURY CAPITAL MANAGEMENT LLC,:801-55521
108847,SCHNEIDER CAPITAL MANAGEMENT CORP.,:801-55439
108849,"BOGLE INVESTMENT MANAGEMENT, L.P.",:801-56815
108870,"METZLER-PAYDEN, LLC",:801-55721
108874,OAK ASSOCIATES LTD,:801-23632
108893,"LOGAN CAPITAL MANAGEMENT, INC.",:801-45536
108928,"BLACKROCK INVESTMENT MANAGEMENT, LLC",:801-56972
108936,GRISANTI CAPITAL MANAGEMENT LLC,:801-56602
108961,MH INVESTMENT MANAGEMENT INC,:801-55917
286239,GOODVEST LLC,:801-108981
108991,LINDBERGH CAPITAL MANAGEMENT INC,:801-68828
109002,"PRINCIPAL GLOBAL INVESTORS, LLC",:801-55959
109018,"ASSETMARK, INC.",:801-56323
109077,AXA ROSENBERG INVESTMENT MANAGEMENT LLC,:801-56080
109104,"EDGEMOOR INVESTMENT ADVISORS, INC.",:801-56945
109138,"VANTAGEPOINT INVESTMENT ADVISERS, LLC",:801-56223
109139,THB ASSET MANAGEMENT,:801-54432
109149,"FIDUCIARY MANAGEMENT, INC.",:801-15164
109168,MARKETOCRACY CAPITAL MANAGEMENT LLC,:801-57974
109169,BRYCE CAPITAL MANAGEMENT LLC,:801-58117
109192,"WELLS FARGO ASSET MANAGEMENT (INTERNATIONAL), LLC",:801-42427
109193,"FORWARD MANAGEMENT, LLC",:801-55746
109194,"FUNDX INVESTMENT GROUP, LLC",:801-54793
109218,CHINOOK CAPITAL MANAGEMENT LLC,:801-54733
109242,"AKRE CAPITAL MANAGEMENT, LLC",:801-57156
109250,"MARSICO CAPITAL MANAGEMENT, LLC",:801-54914
109261,STONERIDGE INVESTMENT PARTNERS,:801-56755
109355,"MDT ADVISERS, A DIVISION OF FEDERATED MDTA LLC",:801-55094
109366,"ALPHAMARK ADVISORS, LLC",:801-58156
109368,"COMMUNITY CAPITAL MANAGEMENT, INC.",:801-56201
109383,NORTHPOINTE CAPITAL LLC,:801-57064
109391,NATIONWIDE FUND ADVISORS,:801-56370
109396,"SENTINEL ASSET MANAGEMENT, INC.",:801-57721
109400,HUSSMAN STRATEGIC ADVISORS INC,:801-57572
109440,CAPITAL MORTGAGE MANAGEMENT INC,:801-54791
109474,FORESTER CAPITAL MANAGEMENT LTD,:801-56631
109481,"AVIVA INVESTORS NORTH AMERICA, INC.",:801-56466
109491,"DESCHUTES INVESTMENT ADVISORS, INC.",:801-54665
109505,DOMINI IMPACT INVESTMENTS LLC,:801-54701
109520,"PIEDMONT INVESTMENT ADVISORS, LLC",:801-58025
109528,"MAINSTAY CAPITAL MANAGEMENT, LLC",:801-58099
109550,"HIGHMARK CAPITAL MANAGEMENT, INC.",:801-55718
109552,HORIZON INVESTMENTS LLC,:801-57316
109580,OSTERWEIS CAPITAL MANAGEMENT,:801-54360
109582,NORTHCOAST ASSET MANAGEMENT LLC,:801-57294
109585,PROFUND ADVISORS LLC,:801-54760
109591,NEW YORK LIFE INVESTMENT MANAGEMENT LLC,:801-57396
109596,RREEF AMERICA L.L.C.,:801-55209
109623,"HESTER CAPITAL MANAGEMENT, L.L.C.",:801-55267
109644,"CIBC PRIVATE WEALTH ADVISORS, INC.",:801-57986
109662,"ENVESTNET PORTFOLIO SOLUTIONS, INC.",:801-43579
109664,MANARIN INVESTMENT COUNSEL LTD,:801-19624
109667,WADE FINANCIAL GROUP INC,:801-47676
109689,BROWN FINANCIAL ADVISORY INC,:801-56501
109712,COMMONWEALTH CAPITAL MANAGEMENT LLC,:801-60040
109767,"CONTRAVISORY INVESTMENT MANAGEMENT, INC.",:801-9168
109807,"MAI CAPITAL MANAGEMENT, LLC",:801-58104
109811,FIM GROUP,:801-33001
109844,ALPHA ANALYTICS INVESTMENT GROUP LLC,:801-113041
109845,RE ADVISERS CORPORATION,:801-37391
109865,"CUPPS CAPITAL MANAGEMENT, LLC",:801-60017
109876,"ARISTOTLE CAPITAL MANAGEMENT, LLC",:801-60014
109888,TANAKA CAPITAL MANAGEMENT INC,:801-28990
109905,"SECURIAN ASSET MANAGEMENT, INC.",:801-47262
109918,LSV ASSET MANAGEMENT,:801-47689
109930,COMPAK ASSET MANAGEMENT,:801-58081
109933,"ENSENIA WEALTH, LLC",:801-60053
154839,ELWOOD & GOETZ,:801-109935
109945,RENAISSANCE CAPITAL LLC,:801-47147
109986,GEIER ASSET MANAGEMENT INC,:801-56955
110005,LITMAN GREGORY FUND ADVISORS LLC,:801-52710
110023,SPIRIT OF AMERICA MANAGEMENT CORP,:801-54782
110035,AUSTIN ATLANTIC ASSET MANAGEMENT CO.,:801-54963
110045,MFS INVESTMENT MANAGEMENT,:801-17352
110049,"APPLETON PARTNERS, INC.",:801-29384
110080,HODGES CAPITAL MANAGEMENT INC,:801-35811
110088,TD ASSET MANAGEMENT,:801-50261
110093,LUTHER KING CAPITAL MANAGEMENT CORPORATION,:801-14458
110096,HILLMAN CAPITAL MANAGEMENT INC,:801-57921
110107,"KERNS CAPITAL MANAGEMENT, INC.",:801-57482
110118,PROVIDENT TRUST COMPANY,:801-58213
110126,"HIGHLAND CAPITAL MANAGEMENT, L.P.",:801-54874
110153,"IRONBRIDGE CAPITAL MANAGEMENT, LP",:801-57534
110166,FISCHER FRANCIS TREES & WATTS UK LIMITED,:801-71466
110181,BROWN ADVISORY,:801-38826
110194,WINCH FINANCIAL,:801-55488
284801,FOLIUM CAPITAL LP,:801-110247
110257,"COLONIAL TRUST ADVISORS, INC.",:801-53402
110269,WESTWOOD MANAGEMENT CORP,:801-18727
110271,CRAWFORD INVESTMENT COUNSEL INC,:801-15563
110291,AMI ASSET MANAGEMENT CORP,:801-47318
110294,PROFIT INVESTMENTS,:801-52528
110296,BAILLIE GIFFORD OVERSEAS LTD,:801-21051
110324,QCI ASSET MANAGEMENT INC,:801-12815
110351,MAIRS & POWER,:801-2731
110353,MORGAN STANLEY INVESTMENT MANAGEMENT INC.,:801-15757
110391,"LORD, ABBETT & CO. LLC",:801-6997
110394,"WISCONSIN CAPITAL MANAGEMENT, LLC",:801-53829
110400,"HORIZON CAPITAL MANAGEMENT, INC.",:801-26038
110407,WESTON FINANCIAL,:801-18403
110425,"MATSON MONEY, INC.",:801-40176
110430,FRONTIER INVESTMENT MANAGEMENT CO,:801-36925
110433,JAMES INVESTMENT RESEARCH INC,:801-12359
110441,WESTERN ASSET MANAGEMENT COMPANY,:801-8162
110457,"BEECH HILL ADVISORS, INC",:801-31503
110458,GAM USA INC.,:801-35671
110489,"BECKER CAPITAL MANAGEMENT, INC.",:801-11781
110497,BROOKFIELD PUBLIC SECURITIES GROUP LLC,:801-34605
110533,"CAPITAL ONE ASSET MANAGEMENT, LLC",:801-60234
110550,"BAILARD, INC.",:801-8562
110552,"DAVIDSON INVESTMENT ADVISORS, INC.",:801-10883
148832,OAK WEALTH ADVISORS LLC,:801-110588
110590,"M.D. SASS INVESTORS SERVICES, INC.",:801-8663
110619,CLEARBRIDGE INVESTMENTS,:801-18115
110632,"MILLER VALUE PARTNERS, LLC",:801-56989
110638,DIAMOND HILL CAPITAL MANAGEMENT INC,:801-32176
110653,EAGLE ASSET MANAGEMENT INC,:801-21343
110658,FCA CORP,:801-20514
110667,"GOLDEN CAPITAL MANAGEMENT, LLC",:801-57973
110670,GAM INTERNATIONAL MANAGEMENT LIMITED,:801-22307
110729,COOKSON PEIRCE WEALTH MANAGEMENT,:801-21341
110750,"CMG CAPITAL MANAGEMENT GROUP, INC.",:801-43455
110757,"GREAT LAKES ADVISORS, LLC",:801-16937
110767,ADVANCE CAPITAL MANAGEMENT INC,:801-28092
110770,"HENNESSY ADVISORS, INC.",:801-36288
110774,"CAVANAL HILL INVESTMENT MANAGEMENT, INC.",:801-60138
110785,FREEDOM FUNDS MANAGEMENT CO,:801-28640
110787,MUHLENKAMP & CO INC,:801-16476
110789,"BAMCO, INC.",:801-29080
110802,PSA FINANCIAL ADVISORS INC,:801-56821
110806,"RAMIUS ADVISORS, LLC",:801-54785
110841,"WELLS FARGO FUNDS MANAGEMENT, LLC",:801-58237
110862,TOWLE & CO,:801-16622
110879,AB CUSTOM ALTERNATIVE SOLUTIONS LLC,:801-60159
110885,CAPITAL RESEARCH AND MANAGEMENT COMPANY,:801-8055
110897,"ZACKS INVESTMENT MANAGEMENT, INC.",:801-40592
110901,TRILLIUM ASSET MANAGEMENT,:801-17958
110908,CORNERSTONE ADVISORS INC,:801-20509
110926,COPLEY FINANCIAL SERVICES CORP,:801-13834
110933,"ACR ALPINE CAPITAL RESEARCH, LLC",:801-60694
110946,"FENIMORE ASSET MANAGEMENT, INC.",:801-10429
165370,STAR AMERICA INFRASTRUCTURE PARTNERS,:801-110957
111069,ABERDEEN STANDARD INVESTMENTS INC.,:801-49966
111079,"JACKSON NATIONAL ASSET MANAGEMENT, LLC",:801-58171
111085,INTERNATIONAL STRATEGY & INVESTMENT INC,:801-38408
111087,"KORNITZER CAPITAL MANAGEMENT, INC.",:801-34933
111091,"VOYA INVESTMENTS, LLC",:801-48282
111097,"U.S. GLOBAL INVESTORS, INC.",:801-4868
111167,"ALLWORTH FINANCIAL, L.P.",:801-68255
111168,"COLUMBIA WANGER ASSET MANAGEMENT, LLC",:801-41391
111231,BROWN BROTHERS HARRIMAN MUTUAL FUND ADVISORY DEPARTMENT,:801-60256
111242,"SSGA FUNDS MANAGEMENT, INC.",:801-60103
111266,BOSTON TRUST WALDEN INC.,:801-60136
111291,"AZZAD ASSET MANAGEMENT, INC.",:801-57871
111295,"SAND HILL GLOBAL ADVISORS, LLC",:801-58002
111335,"COHO PARTNERS, LTD.",:801-60111
111360,FRANKLIN TEMPLETON INVESTMENT MANAGEMENT LIMITED,:801-55170
111361,"FRANKLIN ADVISORY SERVICES, LLC",:801-51967
111370,"TEMPLETON INVESTMENT COUNSEL, LLC",:801-15125
111376,"FRANKLIN MUTUAL ADVISERS, LLC",:801-53068
111382,TEMPLETON ASSET MANAGEMENT LTD.,:801-46997
111383,TEMPLETON GLOBAL ADVISORS LIMITED,:801-42343
111441,"BRIDGEWAY CAPITAL MANAGEMENT, LLC",:801-44394
111447,STONEBRIDGE CAPITAL ADVISORS LLC,:801-53760
111452,"RATIONAL ADVISORS, INC.",:801-60176
111494,"BROADVIEW ADVISORS, LLC",:801-60114
111503,"PENTEGRA INVESTORS, INC.",:801-36893
111587,AEGIS FINANCIAL CORPORATION,:801-46901
111588,DREMAN VALUE MANAGEMENT LLC,:801-54255
111607,ADHIA INVESTMENT ADVISORS INC.,:802-76541
111623,PERRITT CAPITAL MANAGEMENT INC,:801-30378
111694,ENVESTNET PMC,:801-57260
289819,"BRONZE CAPITAL MANAGEMENT, LLC",:802-111726
289885,"TWIN OAKS FUND MANAGEMENT, LLC",:802-111737
111743,BRINKER CAPITAL INC,:801-30504
111750,"CONESTOGA CAPITAL ADVISORS, LLC",:801-60133
111759,"CITY NATIONAL ASSET MANAGEMENT, INC.",:801-60150
111787,"SCOUT INVESTMENTS, INC.",:801-60188
111845,"AVENUE CAPITAL MANAGEMENT II, L.P.",:801-57734
111861,LWI FINANCIAL INC.,:801-55934
111883,"AQR CAPITAL MANAGEMENT, LLC",:801-55543
111907,WESBANCO INVESTMENT DEPARTMENT,:801-60151
111912,"U.S. BANCORP ASSET MANAGEMENT, INC.",:801-60125
112006,JACOB ASSET MANAGEMENT OF NEW YORK LLC,:801-56730
112021,"SARATOGA CAPITAL MANAGEMENT,LLC",:801-46534
112077,HENDERSON INVESTMENT MANAGEMENT LTD.,:801-55577
112192,"SHENKMAN CAPITAL MANAGEMENT, INC.",:801-25180
112215,BESSEMER INVESTMENT MANAGEMENT LLC,:801-60185
112319,GUIDESTONE CAPITAL MANAGEMENT,:801-60303
112322,"REAL ESTATE MANAGEMENT SERVICES GROUP, LLC",:801-61061
112324,ASSET MANAGEMENT GROUP OF BANK OF HAWAII,:801-60203
112338,BARTLETT & CO,:801-21
112379,SOUND SHORE MANAGEMENT INC,:801-13549
112441,ALLIED ASSET ADVISORS INC,:801-57323
112442,GREEN CENTURY CAPITAL MANAGEMENT INC,:801-39630
112487,ORRELL CAPITAL MANAGEMENT,:801-38997
112496,"ALPINE WOODS CAPITAL INVESTORS, LLC",:801-55110
112526,"RAFFERTY ASSET MANAGEMENT, LLC",:801-54679
112528,"TRIBUTARY CAPITAL MANAGEMENT, LLC",:801-60282
112551,ASHMORE INVESTMENT MANAGEMENT LTD,:801-55109
112554,"NORTH COUNTRY INVESTMENT ADVISERS, INC.",:801-58290
112572,MOHAWK ASSET MANAGEMENT INC,:801-57042
112608,"STADION MONEY MANAGEMENT, LLC",:801-45601
112613,BANK OF AMERICA CAPITAL ADVISORS LLC,:801-60464
112629,"PARKWAY ADVISORS, L.P.",:801-60265
112738,CITIZENS INVESTMENT ADVISORS,:801-60253
292107,MATRIX ADVISORY,:801-112865
113042,"HARBOR CAPITAL ADVISORS, INC.",:801-60367
113086,"FIRST ASSOCIATED INVESTMENT ADVISORS, INC.",:801-60972
113128,"CULLEN CAPITAL MANAGEMENT, LLC",:801-57576
113224,"SATUIT CAPITAL MANAGEMENT, LLC",:801-57862
113308,CAUSEWAY CAPITAL MANAGEMENT LLC,:801-60343
113358,"WATER ISLAND CAPITAL, LLC",:801-57341
113360,"CROSSMARK GLOBAL INVESTMENTS, INC.",:801-17695
113441,"ROBECOSAM USA, INC.",:801-68013
113609,DSM CAPITAL PARTNERS,:801-60423
113638,FIERA CAPITAL INC.,:801-8948
113859,"COOKE & BIELER, L.P.",:801-60411
113918,EMERALD RESEARCH CORP.,:801-60455
113972,STANDISH,:801-60527
114052,"STATETRUST CAPITAL, LLC.",:801-60478
114057,"ROUMELL ASSET MANAGEMENT, LLC",:801-60837
114085,"MASON STREET ADVISORS, LLC",:801-60721
114102,HORIZON WEALTH ADVISORS,:801-61731
114114,"QUAKER FUNDS, INC.",:801-60603
114193,"JONES VILLALTA ASSET MANAGEMENT, LLC",:801-66485
114335,IMPAX ASSET MANAGEMENT LLC,:801-8517
114439,"AMERICAN TRUST INVESTMENT ADVISORS, LLC",:801-60454
114502,INTERSTATE ASSET ADVISORS,:INTERSTATE+ASSET+ADVISORS
114649,"HOTCHKIS AND WILEY CAPITAL MANAGEMENT, LLC",:801-60512
115015,"GREENWOOD CAPITAL ASSOCIATES, LLC",:801-60493
115060,MCMORGAN & COMPANY LLC,:801-60509
115093,"CAMBIAR INVESTORS, LLC",:801-60541
115357,"AMERICAN MONEY MANAGEMENT, LLC",:801-60976
115494,INVESTMENT RESEARCH CORPORATION,:INVESTMENT+RESEARCH+CORPORATION
115504,"GEODE CAPITAL MANAGEMENT, LLC",:801-61117
115785,THRIVENT FINANCIAL FOR LUTHERANS,:801-60701
115961,INTEGRITY PROSPERITY SECURITY (IPS) STRATEGIC CAPITAL,:801-107321
116176,"WELLESLEY ASSET MANAGEMENT, INC.",:801-61288
116197,"CHADWICK & D'AMATO, LLC",:801-62604
116360,ALLIANT WEALTH ADVISORS,:801-110601
116379,INVESTMENT COUNSELORS OF MARYLAND,:801-60824
116449,PHILADELPHIA INTERNATIONAL ADVISORS LP,:801-60785
117048,"OSBORN ROHS WILLIAMS & DONOHOE, LLC",:801-60689
117050,MORGAN STANLEY AIP GP LP,:801-60699
117054,"JOHNSON INVESTMENT COUNSEL, INC.",:801-60676
117198,CITY NATIONAL ROCHDALE,:801-27265
117343,"ALSIN CAPITAL MANAGEMENT, INC.",:801-61366
117384,"FRANKLIN TEMPLETON INSTITUTIONAL, LLC",:801-60684
117681,NORTH STAR INVESTMENT MANAGEMENT CORPORATION,:801-62013
117743,"HIGH POINTE CAPITAL MANAGEMENT, LLC",:801-61446
117773,ARDEN ASSET MANAGEMENT LLC,:801-61080
117808,"STEBEN & COMPANY, LLC",:8-53614
118077,"WINNING POINTS ADVISORS, L.L.C.",:801-78654
118203,361 CAPITAL LLC,:801-60813
118826,"TRUSTMARK INVESTMENT ADVISORS, INC.",:801-60966
118851,"HANLON INVESTMENT MANAGEMENT, INC.",:801-60889
118884,"KELLNER MANAGEMENT, LP",:801-60864
119167,"C.S. MCKEE, L.P.",:801-60927
119209,"THE APPLETON GROUP, LLC",:801-62598
119278,"HAMLIN CAPITAL MANAGEMENT, LLC",:801-60945
310048,"ISA VENTURES FUND MANAGEMENT, LLC",:802-119347
120107,"CHILTON INVESTMENT COMPANY, LLC",:801-62678
120277,"LM CAPITAL GROUP, LLC",:801-61100
120325,"HATTERAS ALTERNATIVE MUTUAL FUNDS, LLC",:801-61090
120572,"HEPBURN CAPITAL MANAGEMENT, LLC",:801-69734
120573,ADAMS ASSET ADVISORS LLC,:801-61797
120642,"ALTAIR ADVISERS, LLC",:801-61138
121348,"PILGRIMS CAPITAL ADVISORS, INC.",":PILGRIMS+CAPITAL+ADVISORS,+INC."
121468,ENTRUSTPERMAL MANAGEMENT LLC,:801-61864
121484,"ABSOLUTE CAPITAL MANAGEMENT, LLC",:801-61336
121629,"GENEVA ADVISORS, LLC",:801-61890
121812,INVESTMENT PARTNERS ASSET MANAGEMENT,:801-61906
121876,"NWQ INVESTMENT MANAGEMENT COMPANY, LLC",:801-61379
121942,"GW&K INVESTMENT MANAGEMENT, LLC",:801-61559
121995,WHITEBOX ADVISORS LLC,:801-65882
122020,"RIVERNORTH CAPITAL MANAGEMENT, LLC",:801-61533
122389,"BERKSHIRE ADVISORS, INC.",:801-61433
122708,INDEX INVESTMENTS LLC,:801-61464
122733,"PHILADELPHIA INVESTMENT PARTNERS, LLC",:801-66682
122833,"SALIENT ADVISORS, L.P.",:801-61449
122836,LAZARD ASSET MANAGEMENT LLC,:801-61701
123381,IVY INVESTMENTS,:801-61515
123499,DOVER INVESTMENT ADVISORY CORPORATION,:801-114388
123525,RMR ADVISORS LLC,:801-62519
123543,ANCHOR CAPITAL,:801-61643
123558,"BOSTON COMMON ASSET MANAGEMENT, LLC",:801-61564
123711,"TORTOISE CAPITAL ADVISORS, L.L.C.",:801-61622
123826,"K2/D&S MANAGEMENT CO., L.L.C.",:801-61852
124313,"ALPHA INVESTMENT MANAGEMENT, INC.",":ALPHA+INVESTMENT+MANAGEMENT,+INC."
124365,"PACIFIC HEIGHTS ASSET MANAGEMENT, LLC",:801-61673
124414,"RANGER INVESTMENT MANAGEMENT,L.P.",:801-62397
124465,"GUINNESS ATKINSON ASSET MANAGEMENT, INC.",:801-61667
124674,ANCORA ADVISORS LLC,:801-61770
124687,NEUBERGER BERMAN INVESTMENT ADVISERS LLC,:801-61757
124982,BOSTON PARTNERS,:801-61786
125004,REGAL INVESTMENT ADVISORS LLC,:801-71923
125121,BERTOLET CAPITAL LLC,:801-61782
125410,RICE HALL JAMES & ASSOCIATES LLC,:801-61905
125680,"CANTERBURY INVESTMENT MANAGEMENT, LLC",:801-61876
125772,"PENSION PARTNERS, LLC",:801-68091
125951,"SARASOTA CAPITAL STRATEGIES,INC.",:801-68409
126236,"HENNION & WALSH ASSET MANAGEMENT, INC.",:801-61977
126825,"JURIKA, MILLS & KEIFER, LLC",:801-112830
126890,"WEGENER, LLC",:801-67223
126928,"SEASCAPE CAPITAL MANAGEMENT,LLC",:801-79293
127065,AURORA INVESTMENT MANAGEMENT L.L.C.,:801-62103
127304,"SHEPHERD KAPLAN KROCHUK, LLC",:801-62286
127325,FORESIGHT ASSET MANAGEMENT,:801-62566
127351,GOOD HARBOR FINANCIAL,:801-71064
127398,"CHICKASAW CAPITAL MANAGEMENT, LLC",:801-62121
127739,"CWC ADVISORS, LLC",:801-62369
127817,FRANK CAPITAL PARTNERS LLC,:801-62245
128040,"FOOTPRINTS ASSET MANAGEMENT & RESEARCH, INC.",:801-62315
128117,"BRISTLECONE VALUE PARTNERS, LLC",:801-81088
128356,"ALPHASIMPLEX GROUP, LLC",:801-62448
128483,"CUTLER INVESTMENT COUNSEL, LLC",:801-62469
128586,"SUMMITRY, LLC",:801-62398
128610,FEDERATED EQUITY MANAGEMENT COMPANY OF PENNSYLVANIA,:801-62501
128611,FEDERATED ADVISORY SERVICES COMPANY,:801-62500
128667,DIVIDEND CAPITAL INVESTMENTS LLC,:801-62453
128734,WEISS CAPITAL MANAGEMENT,:WEISS+CAPITAL+MANAGEMENT
128856,ESTABROOK CAPITAL MANAGEMENT LLC,:801-62452
128990,ZEVENBERGEN CAPITAL INVESTMENTS LLC,:801-62477
129040,"POTKUL CAPITAL MANAGEMENT, LLC",:801-64645
129257,MERITAGE CAPITAL,:801-65011
129288,GUGGENHEIM INVESTMENTS,:801-62515
129398,SIMS CAPITAL MANAGEMENT LLC,:801-67455
129609,"THOMPSON INVESTMENT MANAGEMENT, INC.",:801-62562
129669,"LEXINGTON ASSET MANAGEMENT, INC.",:801-62554
129734,"NCM CAPITAL ADVISERS, INC.",:801-62654
129973,"DIVIDEND ASSETS CAPITAL, LLC",:801-62643
130007,"HAVERFORD FINANCIAL SERVICES, INC.",:801-62759
130023,LISANTI CAPITAL GROWTH LLC,:801-62639
130105,BIONDO INVESTMENT ADVISORS LLC,:801-62775
130282,"CENTURY CAPITAL MANAGEMENT, LLC",:801-62860
130651,"ASCENTIA CAPITAL PARTNERS, LLC",:801-65018
130874,MADISON ASSET MANAGEMENT,:801-62992
130913,"DALTON, GREINER, HARTMAN, MAHER & CO., LLC",:801-62895
130987,ADIRONDACK RESEARCH & MANAGEMENT INC.,:801-63015
131181,"LINCOLN INVESTMENT ADVISERS, LLC",":LINCOLN+INVESTMENT+ADVISERS,+LLC"
131257,"CLOUGH CAPITAL PARTNERS, LP",:801-63142
131394,"CORTINA ASSET MANAGEMENT, LLC",:801-63066
131572,KASE CAPITAL MANAGEMENT,:802-111973
131670,"THE INDEX GROUP, LIMITED LIABILITY COMPANY",:801-66358
131684,NUMERIC INVESTORS LLC,:801-63276
131750,"USA MUTUALS ADVISORS, INC.",:801-63216
131898,"TYGH CAPITAL MANAGEMENT, INC.",:801-63231
132117,"CENTAUR CAPITAL PARTNERS, L.P.",:801-63395
132230,"YIELDQUEST ADVISORS, LLC",:801-64634
132257,"PROGRESS INVESTMENT MANAGEMENT COMPANY, LLC",:801-63324
132372,"HERITAGE ASSET MANAGEMENT, LLC",:801-63512
132416,BOYLE CAPITAL,:801-67954
132436,ABSOLUTE INVESTMENT ADVISERS LLC,:801-63488
132474,"CHAMPLAIN INVESTMENT PARTNERS, LLC",:801-63424
132551,"CHANGING PARAMETERS, LLC",:801-63495
132553,"MUNDOVAL CAPITAL MANAGEMENT, INC.",:801-63477
132694,"TIMESSQUARE CAPITAL MANAGEMENT, LLC",:801-63492
132731,WINDOWPANE ADVISORS L.L.C.,:801-63538
133232,"MANIFOLD FUND ADVISORS, LLC",:801-63953
133370,"1919 INVESTMENT COUNSEL, LLC",:801-63656
133383,"EVERGREEN ASSET MANAGEMENT, LLC",:801-63734
133783,JOULE FINANCIAL,:801-112854
133873,"TRINITY FIDUCIARY PARTNERS, LLC",:801-67457
134012,"STEWART CAPITAL ADVISORS, LLC",:801-64212
134111,MCCONNELL ASSET MANAGEMENT LLC,:801-65392
134249,RMB CAPITAL MANAGEMENT,:801-63939
134332,CAMPBELL & COMPANY INVESTMENT ADVISER LLC,:801-64244
134340,"ALPS ADVISORS, INC.",:801-67135
134574,GIORDANO ASSET MANAGEMENT LLC,:801-64342
135061,"BRC INVESTMENT MANAGEMENT, LLC",:801-64182
135130,EMERALD MUTUAL FUND ADVISERS TRUST,:801-64204
135287,"ASPEN PARTNERS, LTD.",:801-64581
135296,ANCHOR INVESTMENT MANAGEMENT,:801-64338
135405,STERLING CAPITAL MANAGEMENT LLC,:801-64257
135470,PHOCAS FINANCIAL CORPORATION,:801-64317
135601,"WINTERGREEN ADVISERS, LLC",:801-64305
135622,"ZIEGLER CAPITAL MANAGEMENT, LLC",:801-64334
135822,"COPELAND CAPITAL MANAGEMENT, LLC",:801-68586
136150,WEISS MULTI-STRATEGY ADVISERS LLC,:801-71151
136246,"PACIFIC EDGE INVESTMENT MANAGEMENT, LLC",:801-65297
136330,"GPS CAPITAL MANAGEMENT, LLC",:801-64685
136403,ARCHER INVESTMENT CORPORATION,:801-64607
136462,"AON RETIREMENT PLAN ADVISORS, LLC",:801-64559
136481,PARADIGM FUNDS ADVISOR LLC,:801-64574
136531,"RHOADS LUCCA CAPITAL PARTNERS, L.P.",:801-64590
136716,DRAKE CAPITAL ADVISORS LLC,:801-65564
136851,TRAUB CAPITAL MANAGEMENT,:801-70068
136940,CENTRE ASSET MANAGEMENT,:801-66295
137028,"CLEARBRIDGE INVESTMENTS, LLC",:801-64710
137045,USCA ASSET MANAGEMENT LLC,:801-64873
137053,"THE OXFORD PRIVATE CLIENT GROUP, LLC",:801-64694
137177,VAN ECK ABSOLUTE RETURN ADVISERS CORP.,:801-65186
137251,"EM CAPITAL MANAGEMENT, LLC",:801-65860
137441,BULL PATH CAPITAL MANAGEMENT LLC,:801-65532
137463,CONSULTING GROUP ADVISORY SERVICES LLC,:801-64791
137598,"COLLINS CAPITAL INVESTMENTS, LLC",:801-65014
137610,"SANDS CAPITAL MANAGEMENT, LLC",:801-64820
137661,FULCRUM ASSET MANAGEMENT LLP,:801-72206
137682,LARCH LANE ADVISORS LLC,:801-64829
137751,"THRIVENT ASSET MANAGEMENT, LLC",:801-64988
137834,SANDELL ASSET MANAGEMENT CORP.,:801-71398
137872,"SMI ADVISORY SERVICES, LLC",:801-64882
137894,"EQUINOX INSTITUTIONAL ASSET MANAGEMENT, LP",:801-64917
138121,PARKS CAPITAL,:801-65169
138245,GOTTEX FUND MANAGEMENT SARL,:801-66129
138401,"MORGAN CREEK CAPITAL MANAGEMENT, LLC",:801-65690
138613,CRITICAL MATH ADVISORS LLC,:801-65306
138653,J O HAMBRO CAPITAL MANAGEMENT LIMITED,:801-69614
138756,"AMUNDI PIONEER INSTITUTIONAL ASSET MANAGEMENT, INC.",:801-66395
138923,OUTFITTER FINANCIAL CORP.,:801-65346
138960,STONE HARBOR INVESTMENT PARTNERS LP,:801-65397
139083,ACHIEVEMENT ASSET MANAGEMENT LLC,:801-66095
139309,"STRATEGIC GLOBAL ADVISORS, LLC",:801-66360
139488,"FASA, LLC",:801-69056
139652,"ARROW INVESTMENT ADVISORS, LLC",:801-66595
139663,"VERIPAX WEALTH MANAGEMENT, INC.",:801-113371
139671,DAY HAGAN ASSET MANAGEMENT,:801-66337
139675,RAYLOR INVESTMENTS LLC,:801-68653
139708,STRUCTURED INVESTMENT MANAGEMENT,:801-66326
139856,"GALAPAGOS PARTNERS, L.P.",:801-67836
139895,CATALYST CAPITAL ADVISORS LLC,:801-66886
140059,"BOSTON ADVISORS, LLC",:801-66535
140413,"CHESWOLD LANE ASSET MANAGEMENT, LLC",:801-66664
140432,"LEGG MASON PARTNERS FUND ADVISOR, LLC",:801-66785
140486,"WATER OAK ADVISORS, LLC",:801-66872
140649,PERIMETER CAPITAL MANAGEMENT,:801-66782
140743,"CENTURION INVESTMENT PARTNERS, LLC",:801-67329
140792,BRICK ASSET MANAGEMENT INC.,:801-66825
140799,ENERGY INCOME PARTNERS,:801-66907
140963,RS INVESTMENTS,:801-66927
141202,"SCOTIA INSTITUTIONAL INVESTMENTS US, LP",:801-67074
141349,ALLIANZ GLOBAL INVESTORS ADVISORY GMBH,:801-67206
141395,"CEDAR RIDGE PARTNERS, LLC",:801-67094
141417,"OCEANSTONE CAPITAL MANAGEMENT, INC",:801-67071
141575,"WAMBIA CAPITAL MANAGEMENT, LLC",:801-71256
141605,"TRANSWESTERN CAPITAL ADVISORS, LLC",:801-67113
