FIRM_ID,FIRM_NAME,SEARCH_TERM
104571,METROPOLITAN WEST ASSET MANAGEMENT LLC,:801-53332
104576,"PEAR TREE ADVISORS, INC.",:801-19222
104583,BERNZOTT  CAPITAL ADVISORS,:801-56940
104585,AMERITOR FINANCIAL CORP,:801-55408
104589,CLAREMONT INVESTMENT PARTNERS LLC,:801-55911
104596,DODGE & COX,:801-1895
104599,"KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT, LLC",:801-24241
104604,"CHRISTIAN BROTHERS INVESTMENT SERVICES, INC.",:801-16639
104626,"NUVEEN FUND ADVISORS, LLC",:801-14147
104634,"KIRR, MARBACH & COMPANY, LLC",:801-10809
104635,DEAN INVESTMENTS,:801-9895
104638,"SELWAY ASSET MANAGEMENT, INC.",:801-4424
104645,"R.W. ROGE & COMPANY, INC",:801-28012
104648,CHASE INVESTMENT COUNSEL CORPORATION,:801-3396
104650,"CLEARARC CAPITAL, INC.",:801-11184
104652,JANUS CAPITAL MANAGEMENT LLC,:801-13991
104685,PORTFOLIO STRATEGIES INC,:801-18475
104693,SCHWARTZ INVESTMENT COUNSEL INC,:801-32773
104702,WCM INVESTMENT MANAGEMENT,:801-11916
104705,"COMMERCE INVESTMENT ADVISORS, INC.",:801-60083
104713,"BANC OF AMERICA INVESTMENT ADVISORS, INC.",:801-26296
104716,CORBYN INVESTMENT MANAGEMENT INC,:801-9139
104719,PACIFIC INCOME ADVISERS INC,:801-27828
104720,SHELTON CAPITAL MANAGEMENT,:801-25205
104735,BRUCE & CO INC,:801-10193
104747,"BRAVER WEALTH MANAGEMENT, LLC",:801-26501
104781,"LEE FINANCIAL GROUP HAWAII, INC.",:801-33016
104783,CAPITAL MANAGEMENT ASSOCIATES INC,:801-17691
104784,"KEMPNER CAPITAL MANAGEMENT, INC.",:801-17585
104793,"LEEB CAPITAL MANAGEMENT, INC.",:801-4565
104796,CLARK CAPITAL MANAGEMENT GROUP INC,:801-28445
104812,QUAKER CAPITAL MANAGEMENT CORP,:801-24702
104817,SYMONS CAPITAL MANAGEMENT INC,:801-18876
104819,ARNOLD INVESTMENT COUNSEL INC,:801-13754
104845,AXA EQUITABLE LIFE INSURANCE COMPANY,:801-7000
